,checkingstatus1,duration,history,purpose,amount,savings,employ,installment,status,others,residence,property,age,otherplans,housing,cards,job,liable,tele,foreign,Actual,Predicted,Probability,Correct
65,2,-0.742595017696657,2,0,-0.6959871391419383,0,1,0.9421637820708983,2,0,-1.6476460038751053,0,-0.8446644283278909,2,1,-0.7187454693270836,2,-0.4364357804719845,0,0,0,1,0.6033,0
69,1,1.289592031872302,2,4,0.6008545389025333,0,1,0.9421637820708983,1,0,-1.6476460038751053,3,-0.4822933101285007,2,1,-0.7187454693270836,3,-0.4364357804719845,1,0,0,1,0.9015,0
70,1,-1.2506417800888967,2,0,4.2537188326151,4,0,-1.727485659452309,2,0,-0.7472929962930807,1,-1.1164427669774335,2,1,-0.7187454693270836,0,-0.4364357804719845,1,0,1,0,0.3752,0
71,0,-0.4885716365005371,2,3,-0.5032386646273921,0,1,0.9421637820708983,1,2,-1.6476460038751053,1,0.9671911626690604,2,0,-0.7187454693270836,2,-0.4364357804719845,0,0,0,1,0.5292,0
73,1,-0.742595017696657,2,8,-0.9115660154921882,4,4,0.9421637820708983,2,0,1.053413018870969,1,0.2424489262702798,2,1,1.045047093438766,2,-0.4364357804719845,0,0,0,1,0.5434,0
77,3,-0.9966183988927768,2,4,-0.6405953445241658,0,3,0.9421637820708983,2,0,-0.7472929962930807,2,-1.207035546527281,2,1,-0.7187454693270836,2,-0.4364357804719845,0,0,1,0,0.1185,0
82,1,1.289592031872302,3,0,1.832573431382867,1,4,-0.8376025122779064,2,0,1.053413018870969,2,0.6048200444696701,2,1,4.572632218970465,3,-0.4364357804719845,1,0,1,0,0.4898,0
85,3,0.2734985070878224,4,2,1.1693689714998066,0,0,0.9421637820708983,2,1,-0.7472929962930807,3,-0.7540716487780433,0,1,1.045047093438766,3,-0.4364357804719845,1,0,0,1,0.5372,0
86,1,-0.2345482553044173,2,4,-0.7772034866558345,0,2,0.9421637820708983,1,2,1.053413018870969,0,-0.8446644283278909,2,1,-0.7187454693270836,1,2.29128784747792,0,0,0,1,0.5386,0
94,1,-1.0812928592914834,2,3,-0.7307941452193224,0,2,0.052280634896496,1,0,1.053413018870969,0,-1.025849987427586,2,1,-0.7187454693270836,2,-0.4364357804719845,0,0,1,0,0.3138,0
98,1,-0.742595017696657,2,0,1.6027723374956215,4,0,-1.727485659452309,1,0,-0.7472929962930807,0,-1.025849987427586,2,0,-0.7187454693270836,0,-0.4364357804719845,0,0,0,1,0.5141,0
103,3,-0.2345482553044173,2,3,0.0869833631579273,0,4,0.9421637820708983,2,0,1.053413018870969,1,1.057783942218908,0,1,2.8088396562046154,2,2.29128784747792,1,0,0,1,0.516,0
105,0,0.2734985070878224,2,2,-0.5369228640571186,0,4,0.9421637820708983,1,2,1.053413018870969,0,2.054304517267231,2,1,-0.7187454693270836,1,-0.4364357804719845,1,0,0,1,0.6073,0
109,3,-0.2345482553044173,4,0,-0.1551686038535512,0,3,-0.8376025122779064,2,0,-0.7472929962930807,1,-0.3917005305786531,0,1,1.045047093438766,2,-0.4364357804719845,0,0,1,0,0.4801,0
110,3,2.305685556656781,4,0,2.5964562206725543,2,2,-0.8376025122779064,2,0,-0.7472929962930807,3,0.7860056035693652,0,2,-0.7187454693270836,2,-0.4364357804719845,0,0,1,0,0.4788,0
111,3,0.2734985070878224,2,9,0.5245036868618197,3,2,-0.8376025122779064,2,0,0.1530600112889441,1,1.691933399067841,2,1,2.8088396562046154,3,-0.4364357804719845,1,0,1,0,0.4107,0
112,1,0.7815452694800622,0,9,0.3860242003173884,0,2,-0.8376025122779064,1,0,-1.6476460038751053,2,-0.6634788692281958,2,1,1.045047093438766,2,-0.4364357804719845,0,0,0,1,0.8115,0
117,3,-0.2345482553044173,2,3,-0.4512152899525922,0,2,0.9421637820708983,2,0,1.053413018870969,3,1.057783942218908,0,2,1.045047093438766,2,-0.4364357804719845,0,0,0,1,0.7059,0
120,2,0.2734985070878224,2,3,-0.1113791445949067,0,4,0.052280634896496,0,0,1.053413018870969,3,1.4201550604182982,2,2,-0.7187454693270836,2,-0.4364357804719845,0,0,0,1,0.575,0
121,0,-0.742595017696657,4,0,0.1158020671144711,0,2,0.052280634896496,1,1,-0.7472929962930807,0,-0.5728860896783482,2,1,1.045047093438766,2,-0.4364357804719845,0,0,1,0,0.2781,0
122,0,0.5275218882839423,2,4,0.0847377498626122,0,2,0.052280634896496,2,0,-0.7472929962930807,2,-0.7540716487780433,2,1,-0.7187454693270836,3,-0.4364357804719845,0,0,0,1,0.8072,0
124,2,0.2734985070878224,2,4,0.7344685299737818,0,3,0.9421637820708983,2,0,-0.7472929962930807,2,-0.9352572078777384,0,1,-0.7187454693270836,2,-0.4364357804719845,0,0,0,1,0.6414,0
128,1,0.2734985070878224,2,4,0.212737707695573,2,0,-1.727485659452309,1,0,1.053413018870969,3,-1.1164427669774335,2,0,-0.7187454693270836,0,-0.4364357804719845,0,0,0,1,0.5815,0
130,3,1.289592031872302,2,1,1.8501640688628356,0,2,-1.727485659452309,1,0,-0.7472929962930807,1,-0.4822933101285007,0,1,-0.7187454693270836,2,-0.4364357804719845,0,0,0,1,0.6547,0
132,1,1.5436154130684216,3,7,3.2076373058808145,1,3,-0.8376025122779064,2,0,0.1530600112889441,3,-0.3011077510288055,2,0,-0.7187454693270836,2,-0.4364357804719845,1,0,0,1,0.7233,0
133,0,-0.742595017696657,2,7,-0.7446420938737656,4,2,0.9421637820708983,1,0,1.053413018870969,1,-1.1164427669774335,0,0,-0.7187454693270836,2,-0.4364357804719845,1,0,0,1,0.6818,0
138,0,-0.065199334507004,4,3,0.4051119133275668,0,4,-1.727485659452309,1,0,1.053413018870969,1,-1.025849987427586,2,1,1.045047093438766,2,-0.4364357804719845,0,0,0,1,0.622,0
139,0,-0.742595017696657,2,3,-0.7113321633265915,0,2,0.9421637820708983,2,2,-1.6476460038751053,1,-1.2976283260771286,2,1,-0.7187454693270836,1,-0.4364357804719845,0,0,0,1,0.5284,0
140,0,0.2734985070878224,2,1,-0.0994025403532261,0,2,0.052280634896496,2,2,1.053413018870969,3,2.507268415016469,0,1,-0.7187454693270836,2,2.29128784747792,1,0,0,1,0.6714,0
143,0,0.5275218882839423,4,9,-0.2798001417435394,0,4,0.9421637820708983,2,0,1.053413018870969,2,0.6954128240195177,1,1,4.572632218970465,3,2.29128784747792,1,0,0,1,0.6165,0
144,1,-0.4885716365005371,2,6,-0.2090633229411136,1,2,0.052280634896496,1,0,-0.7472929962930807,0,-0.9352572078777384,2,1,-0.7187454693270836,1,-0.4364357804719845,0,0,0,1,0.5355,0
149,1,-1.2506417800888967,3,0,-0.7412736739307929,0,0,0.9421637820708983,2,0,1.053413018870969,1,1.057783942218908,2,1,-0.7187454693270836,3,-0.4364357804719845,1,0,1,0,0.2668,0
152,1,-0.742595017696657,2,4,-0.9598467013414628,0,1,0.9421637820708983,3,2,-1.6476460038751053,0,-0.8446644283278909,0,1,-0.7187454693270836,1,-0.4364357804719845,0,0,0,1,0.5249,0
154,0,-0.4885716365005371,2,0,-0.2539755888474157,0,0,-1.727485659452309,1,0,1.053413018870969,2,-1.1164427669774335,2,0,-0.7187454693270836,2,-0.4364357804719845,0,0,0,1,0.7397,0
155,1,-0.742595017696657,2,0,1.0810415152174129,0,3,-0.8376025122779064,2,0,-0.7472929962930807,2,-0.3011077510288055,2,1,-0.7187454693270836,2,-0.4364357804719845,0,0,0,1,0.5221,0
156,0,0.7815452694800622,2,1,0.2497903270682722,0,2,0.9421637820708983,0,0,1.053413018870969,1,0.4236344853699749,2,1,-0.7187454693270836,3,-0.4364357804719845,1,0,0,1,0.7874,0
166,1,-0.6579205572979504,2,4,-0.4074258306939477,0,1,-0.8376025122779064,1,2,1.053413018870969,1,-1.1164427669774335,2,1,-0.7187454693270836,1,-0.4364357804719845,0,0,0,1,0.5184,0
175,0,1.289592031872302,2,3,0.287965753088629,0,0,0.9421637820708983,2,0,0.1530600112889441,1,-0.4822933101285007,2,1,-0.7187454693270836,3,-0.4364357804719845,1,0,0,1,0.86,0
179,2,1.7976387942645415,4,1,0.6012288077850857,0,4,0.9421637820708983,2,0,1.053413018870969,3,1.873118958167536,2,2,-0.7187454693270836,2,-0.4364357804719845,0,0,0,1,0.539,0
181,0,0.2734985070878224,2,4,-0.5938117342051011,0,4,0.9421637820708983,1,0,1.053413018870969,2,1.7825261786176885,2,1,-0.7187454693270836,2,-0.4364357804719845,0,0,0,1,0.8326,0
183,0,0.2734985070878224,2,3,-0.0151920417789098,0,1,0.9421637820708983,2,0,-1.6476460038751053,3,-1.207035546527281,0,2,-0.7187454693270836,2,-0.4364357804719845,0,0,0,1,0.8274,0
184,0,-0.2345482553044173,2,4,-0.469180196315113,4,3,-0.8376025122779064,3,0,1.053413018870969,2,-1.1164427669774335,2,0,1.045047093438766,1,-0.4364357804719845,0,0,0,1,0.5393,0
193,3,0.2734985070878224,2,8,-0.8430748099850776,0,1,0.9421637820708983,3,0,0.1530600112889441,2,-0.7540716487780433,2,1,1.045047093438766,1,-0.4364357804719845,0,0,0,1,0.5713,0
198,0,0.7815452694800622,2,3,1.1828426512716972,4,4,0.9421637820708983,2,0,1.053413018870969,1,-0.3917005305786531,2,1,-0.7187454693270836,2,-0.4364357804719845,0,0,1,0,0.4491,0
